# Rime table
# coding: utf-8
#@/db_name	custom_phrase_double.txt
#@/db_type	tabledb
#
# 自定义短语
# 可为方案增加一些要置顶的词汇及短语，例如邮箱、手机号、常用短语等等。编码可以随便起，不限于拼音。
#
# 此文件，列出数千常用单字的自然码单辅编码，用于减少翻页，加快单字输入。
#
# 适用于双拼。全拼默认为 custom_phrase.txt ，且上面的 db_name 为 custom_phrase.txt
#
# 以 Tab 分割：词汇<Tab>编码<Tab>权重
#
# 这个文件内的字词会占据最高权重（即排在候选项的最前面，因为指定了高权重 custom_phrase/initial_quality: 99）。
# 但不与其他翻译器互相造词，如果使用了完整编码，那么这个字或词将无法参与造词，即自造词无法被记住。
# 所以只建议固定非完整拼音的编码，如果需求是置顶指定拼音的候选项，请参考方案中的 pin_cand_filter。
#
# 最下面的英文是因为一些常用单词的第一候选项被纠错覆盖了，如 Amazon 被纠错为「a ma zong 阿妈粽」，期望的 Amazon 跑到第二个候选项了，所以这里给它固定死喽。
#
# version: "2024-03-12"
#
# 此行之后不能写注释

噷	hm
呣	m
呒	m

安	a
啊	aa
阿	aae
锕	aaj
吖	aak
腌	aao
盎	agm
昂	ago
肮	agoj
爱	ai
癌	aib
皑	aibj
艾	aic
蔼	aicv
隘	aie
挨	aif
捱	aift
锿	aij
唉	aik
哎	aiki
嗳	aiky
嫒	ain
暧	aio
埃	ait
矮	aiu
碍	aiuc
砹	aiui
哀	aiw
瑷	aiwy
霭	aiy
叆	aiyy
暗	an
案	anb
广	and
按	anf
揞	anfo
鞍	ang
庵	angd
黯	anh
铵	anj
唵	ankd
桉	anm
鹌	ann
胺	ano
氨	anq
俺	anr
埯	ant
垵	antn
岸	anu
谙	any
奥	ao
凹	aoa
澳	aod
聱	aoe
拗	aof
廒	aog
熬	aoh
螯	aoi
鏊	aoj
嗷	aok
鏖	aol
骜	aom
媪	aon
獒	aoq
傲	aor
坳	aot
岙	aou
敖	aow
懊	aox
袄	aoy
鳌	aoyw
翱	aoyu
遨	aoz
不	b
把	ba
巴	baa
疤	bab
芭	bac
茇	bacy
菝	bacy
灞	bad
爸	baf
捌	bafl
拔	bafy
靶	bag
魃	bagy
钯	baj
吧	bak
耙	bal
粑	bam
八	bap
罢	bas
坝	bat
岜	bau
笆	bav
霸	bay
鲅	bayy
跋	baz
表	bc
瘭	bcb
飑	bcf
飚	bcfh
飙	bcfq
彪	bch
髟	bci
镖	bcj
镳	bcjh
标	bcm
婊	bcn
膘	bco
裱	bcy
鳔	bcyx
本	bf
贲	bfb
苯	bfc
奔	bfd
锛	bfj
畚	bft
坌	bftd
笨	bfv
崩	bg
甭	bgy
蚌	bgi
嘣	bgk
绷	bgs
泵	bgu
甏	bgw
蹦	bgz
帮	bh
浜	bhd
邦	bhe
镑	bhj
棒	bhm
梆	bhme
榜	bhmw
膀	bho
傍	bhr
绑	bhs
磅	bhu
谤	bhy
比	bi
毙	bis
毖	bibb
痹	bibj
毕	bib
弊	bic
蓖	bicb
芘	bicb
荜	bicu
萆	bicu
薜	bicu
蔽	bicw
荸	bicz
必	bid
濞	bidj
滗	bidm
鄙	bie
陛	biet
庇	big
弼	bigg
庳	bigu
髀	bigu
秘	bih
秕	bihb
铋	bij
吡	bikb
哔	bik
闭	bim
妣	binb
婢	bin
嬖	binu
臂	bio
币	bip
匕	bipv
狴	biq
俾	bir
壁	bit
畀	bitj
碧	biu
屄	biub
笔	biv
篦	bivb
舭	bivb
箅	bivj
筚	bivu
敝	biw
彼	bis
愎	bix
璧	biy
裨	biyu
襞	biyu
避	biz
鼻	bizj
逼	bizt
跸	bizu
办	bj
半	bjb
癍	bjbt
瘢	bjby
班	bjd
阪	bje
搬	bjf
扮	bjfd
拌	bjfu
扳	bjfy
瓣	bjg
钣	bjj
板	bjm
版	bjp
伴	bjr
绊	bjs
坂	bjt
般	bjv
舨	bjvy
斑	bjw
颁	bjy
报	bk
宝	bkb
薄	bkc
葆	bkcm
剥	bkl
抱	bkf
包	bkg
爆	bkh
煲	bkhm
龅	bki
鸨	bkn
胞	bko
勹	bkp
保	bkr
堡	bkt
饱	bku
豹	bkv
褒	bkw
褓	bkym
雹	bkys
鲍	bky
孢	bkz
趵	bkzu
白	bl
百	bla
败	blb
摆	blfs
掰	blff
捭	blfu
稗	blh
呗	blk
柏	blm
拜	blf
伯	blr
佰	blro
边	bm
贬	bmb
窆	bmxz
苄	bmc
辨	bmd
汴	bmdb
鞭	bmg
扁	bmh
煸	bmhc
蝙	bmi
匾	bmk
便	bmr
编	bms
弁	bmsc
缏	bmsi
砭	bmu
碥	bmuc
笾	bmv
变	bmyb
卞	bmw
辫	bmsu
忭	bmx
辩	bmy
鳊	bmyc
褊	bmyc
遍	bmz
宾	bn
滨	bnd
殡	bndb
濒	bndy
邠	bned
摈	bnf
髌	bng
鬓	bni
镔	bnj
彬	bnp
槟	bnm
膑	bno
傧	bnr
缤	bns
豳	bnu
斌	bnw
波	bo
卜	boa
帛	boj
菠	boc
泊	bod
渤	bodl
播	bof
搏	bofc
擘	bofu
拨	bofy
铂	bojo
钵	bojb
钹	bojy
啵	bok
勃	bol
驳	bom
檗	bomu
鹁	bon
脖	boo
膊	booc
博	bou
礴	bouc
饽	bouz
箔	bov
舶	bovo
簸	bovy
玻	bow
亳	bowq
跛	boz
踣	bozk
部	bu
捕	buf
布	buj
钚	bujb
钸	bujj
哺	buk
卟	bukb
晡	buo
埠	but
步	buv
簿	buvc
瓿	buw
怖	bux
补	buy
逋	buz
别	bx
瘪	bxb
憋	bxx
鳖	bxy
蹩	bxz
并	by
丙	bya
病	bybn
冰	byd
邴	bye
摒	byf
疒	byg
炳	byh
柄	bym
梹	bymb
秉	byhx
兵	byq
禀	byw
饼	byuc
迸	byz
被	bz
贝	bzk
北	bzb
蓓	bzc
陂	bze
邶	bzeb
鞴	bzg
焙	bzh
稖	bzhk
辈	bzi
钡	bzj
鐾	bzju
杯	bzm
鹎	bzn
背	bzo
卑	bzu
狈	bzq
倍	bzr
碑	bzuu
碚	bzuk
备	bzw
悲	bzx
惫	bzxw
悖	bzxz
褙	bzy
孛	bzz
次	c
擦	ca
嚓	cak
礤	cau
凑	cb
辏	cbi
楱	cbm
腠	cbo
策	ce
测	ced
厕	cei
册	cek
侧	cer
恻	cex
岑	cf
涔	cfd
曾	cg
噌	cgk
层	cgu
蹭	cgz
藏	ch
苍	chc
沧	chd
仓	chr
舱	chv
此	ci
赐	cib
疵	cibb
茨	cic
刺	cil
呲	cik
糍	cim
鹚	cin
兹	ciq
伺	cir
磁	cius
祠	ciuk
雌	civ
瓷	ciw
辞	ciu
慈	cix
词	ciy
参	cj
残	cjd
灿	cjh
黪	cjhp
蚕	cji
骖	cjmp
粲	cjm
餐	cju
璨	cjw
惨	cjx
惭	cjxj
草	ck
曹	ckc
漕	ckd
操	ckf
螬	cki
嘈	ckk
槽	ckm
糙	ckmz
肏	ckr
艚	ckv
才	cl
财	clb
菜	clc
蔡	clcx
裁	clg
材	clm
睬	clo
彩	clp
猜	clq
采	clv
踩	clz
错	co
痤	cob
措	cof
搓	cofg
挫	coft
厝	coi
锉	coj
鹾	col
脞	coo
磋	cou
嵯	coug
矬	cout
蹉	coz
村	cp
寸	cpa
吋	cpkc
皴	cpp
